group;id;area;area_poly;bird_id
Licques.16;homerange;4304.90445432129;506055.468587935;Licques
Licques.17;homerange;4304.90445432129;506195.596808658;Licques
Licques.18;homerange;4304.90445432129;517108.214907613;Licques
Licques.19;homerange;4304.90445432129;11002502.4325781;Licques
Licques.20;homerange;4304.90445432129;516762.160567135;Licques
Licques.21;homerange;4304.90445432129;513391.532829273;Licques
Licques.22;homerange;4304.90445432129;503439.737822384;Licques
Licques.23;homerange;4304.90445432129;7099177.36937352;Licques
Licques.24;homerange;4304.90445432129;510272.324522572;Licques
Licques.25;homerange;4304.90445432129;504289.164334141;Licques
Licques.26;homerange;4304.90445432129;3077447.42761467;Licques
Licques.27;homerange;4304.90445432129;1064360.99532656;Licques
Loos-en-Gohelle 74A;homerange;8584.26652587891;999675.821650561;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.1;homerange;8584.26652587891;4625400.00610793;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.2;homerange;8584.26652587891;195150.440601952;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.3;homerange;8584.26652587891;3944772.57576271;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.4;homerange;8584.26652587891;693514.185668986;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.5;homerange;8584.26652587891;194257.590194426;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.6;homerange;8584.26652587891;197187.340813585;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.7;homerange;8584.26652587891;195254.372046247;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.8;homerange;8584.26652587891;1360432.98726162;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.9;homerange;8584.26652587891;699137.193892625;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.10;homerange;8584.26652587891;195629.965059579;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.11;homerange;8584.26652587891;3104031.11941309;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.12;homerange;8584.26652587891;1338085.96790019;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.13;homerange;8584.26652587891;1207429.2216814;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.14;homerange;8584.26652587891;193667.540862329;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.15;homerange;8584.26652587891;202629.364900157;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.16;homerange;8584.26652587891;203122.448719284;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.17;homerange;8584.26652587891;192470.237966938;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.18;homerange;8584.26652587891;195844.951168269;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.19;homerange;8584.26652587891;1396295.88167819;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.20;homerange;8584.26652587891;228622.407410085;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.21;homerange;8584.26652587891;225732.578395069;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.22;homerange;8584.26652587891;2530089.76655753;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.23;homerange;8584.26652587891;194951.305238891;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.24;homerange;8584.26652587891;205323.730077691;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.25;homerange;8584.26652587891;193541.161614157;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.26;homerange;8584.26652587891;194504.633801728;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.27;homerange;8584.26652587891;195826.804092452;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.28;homerange;8584.26652587891;996339.296112932;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.29;homerange;8584.26652587891;1210598.31693995;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.30;homerange;8584.26652587891;197622.472576849;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.31;homerange;8584.26652587891;698571.471991597;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.32;homerange;8584.26652587891;233470.826639262;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.33;homerange;8584.26652587891;53862784.5519174;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.34;homerange;8584.26652587891;198817.216222234;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.35;homerange;8584.26652587891;3141879.51236686;Loos-en-Gohelle 74A
Loos-en-Gohelle 74B;homerange;14893.8402943848;3091295.67374413;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.1;homerange;14893.8402943848;719770.575348992;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.2;homerange;14893.8402943848;715891.689454366;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.3;homerange;14893.8402943848;3443779.52643853;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.4;homerange;14893.8402943848;721390.920935724;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.5;homerange;14893.8402943848;716054.455399919;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.6;homerange;14893.8402943848;717375.628633998;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.7;homerange;14893.8402943848;3597053.57998531;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.8;homerange;14893.8402943848;1946432.30465626;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.9;homerange;14893.8402943848;4895178.80118819;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.10;homerange;14893.8402943848;1495635.53189581;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.11;homerange;14893.8402943848;715024.059506655;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.12;homerange;14893.8402943848;717274.321185934;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.13;homerange;14893.8402943848;2454539.16737185;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.14;homerange;14893.8402943848;717802.169104181;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.15;homerange;14893.8402943848;715653.226599313;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.16;homerange;14893.8402943848;758811.301913575;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.17;homerange;14893.8402943848;1568917.01479819;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.18;homerange;14893.8402943848;773291.535019454;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.19;homerange;14893.8402943848;4035581.03919997;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.20;homerange;14893.8402943848;724278.386771146;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.21;homerange;14893.8402943848;717698.996045647;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.22;homerange;14893.8402943848;713515.614352198;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.23;homerange;14893.8402943848;778972.719996288;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.24;homerange;14893.8402943848;62416072.140017;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.25;homerange;14893.8402943848;720904.300516327;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.26;homerange;14893.8402943848;2213507.93426149;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.27;homerange;14893.8402943848;13464395.3055348;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.28;homerange;14893.8402943848;717386.766921174;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.29;homerange;14893.8402943848;717935.64394948;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.30;homerange;14893.8402943848;14967704.3208373;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.31;homerange;14893.8402943848;2030271.46966445;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.32;homerange;14893.8402943848;733353.570496516;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.33;homerange;14893.8402943848;2538286.40280655;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.34;homerange;14893.8402943848;5278682.69961699;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.35;homerange;14893.8402943848;719668.684777308;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.36;homerange;14893.8402943848;3473264.29783554;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.37;homerange;14893.8402943848;1495751.17510364;Loos-en-Gohelle 74B
Nabringhen;homerange;5416.0563454834;2107727.78458502;Nabringhen
Nabringhen.1;homerange;5416.0563454834;4371502.96348312;Nabringhen
Nabringhen.2;homerange;5416.0563454834;5046367.35724849;Nabringhen
Nabringhen.3;homerange;5416.0563454834;4378089.75722002;Nabringhen
Nabringhen.4;homerange;5416.0563454834;5808308.3925118;Nabringhen
Nabringhen.5;homerange;5416.0563454834;9117939.55536205;Nabringhen
Nabringhen.6;homerange;5416.0563454834;4278020.53239535;Nabringhen
Nabringhen.7;homerange;5416.0563454834;3719907.33682984;Nabringhen
Nabringhen.8;homerange;5416.0563454834;6282895.66488109;Nabringhen
Nabringhen.9;homerange;5416.0563454834;4812693.04338557;Nabringhen
Nabringhen.10;homerange;5416.0563454834;2130526.01333419;Nabringhen
Nabringhen.11;homerange;5416.0563454834;2106585.05200361;Nabringhen
Quelmes;homerange;13579.8716233398;539502.355614329;Quelmes
Quelmes.1;homerange;13579.8716233398;545718.763608536;Quelmes
Quelmes.2;homerange;13579.8716233398;1664621.56277969;Quelmes
Quelmes.3;homerange;13579.8716233398;2685250.09942698;Quelmes
Quelmes.4;homerange;13579.8716233398;547633.650552879;Quelmes
Quelmes.5;homerange;13579.8716233398;1821076.08176985;Quelmes
Quelmes.6;homerange;13579.8716233398;549820.478906491;Quelmes
Quelmes.7;homerange;13579.8716233398;545918.879521318;Quelmes
Quelmes.8;homerange;13579.8716233398;542762.246875914;Quelmes
Quelmes.9;homerange;13579.8716233398;1148107.85898027;Quelmes
Quelmes.10;homerange;13579.8716233398;565080.789415978;Quelmes
Quelmes.11;homerange;13579.8716233398;557213.962203545;Quelmes
Quelmes.12;homerange;13579.8716233398;545697.504439061;Quelmes
Quelmes.13;homerange;13579.8716233398;1127240.76259211;Quelmes
Quelmes.14;homerange;13579.8716233398;542112.10047341;Quelmes
Quelmes.15;homerange;13579.8716233398;1933320.5323629;Quelmes
Quelmes.16;homerange;13579.8716233398;1816839.88421137;Quelmes
Quelmes.17;homerange;13579.8716233398;565299.703481615;Quelmes
Quelmes.18;homerange;13579.8716233398;2585819.70321152;Quelmes
Quelmes.19;homerange;13579.8716233398;549518.02661071;Quelmes
Quelmes.20;homerange;13579.8716233398;549603.679506019;Quelmes
Quelmes.21;homerange;13579.8716233398;1153709.18410083;Quelmes
Quelmes.22;homerange;13579.8716233398;543042.360346444;Quelmes
Quelmes.23;homerange;13579.8716233398;2649180.19421548;Quelmes
Quelmes.24;homerange;13579.8716233398;1893536.2703265;Quelmes
Quelmes.25;homerange;13579.8716233398;2714026.56422872;Quelmes
Quelmes.26;homerange;13579.8716233398;18202606.6273776;Quelmes
Quelmes.27;homerange;13579.8716233398;547199.793191034;Quelmes
Quelmes.28;homerange;13579.8716233398;569862.241323933;Quelmes
Quelmes.29;homerange;13579.8716233398;4782400.32184683;Quelmes
Quelmes.30;homerange;13579.8716233398;562472.380994162;Quelmes
Quelmes.31;homerange;13579.8716233398;1129248.72320141;Quelmes
Quelmes.32;homerange;13579.8716233398;1311328.60273554;Quelmes
Quelmes.33;homerange;13579.8716233398;1222914.33282503;Quelmes
Quelmes.34;homerange;13579.8716233398;2853946.9967977;Quelmes
Quelmes.35;homerange;13579.8716233398;1630643.74056656;Quelmes
Quelmes.36;homerange;13579.8716233398;3465638.33163031;Quelmes
Quelmes.37;homerange;13579.8716233398;2504945.93620822;Quelmes
Quelmes.38;homerange;13579.8716233398;2306144.06372683;Quelmes
Quelmes.39;homerange;13579.8716233398;1219723.74702493;Quelmes
Quelmes.40;homerange;13579.8716233398;1861064.25083211;Quelmes
Quelmes.41;homerange;13579.8716233398;548125.063673637;Quelmes
Quelmes.42;homerange;13579.8716233398;1904962.38290283;Quelmes
Quelmes.43;homerange;13579.8716233398;549779.421700864;Quelmes
Quelmes.44;homerange;13579.8716233398;538353.144183815;Quelmes
Quelmes.45;homerange;13579.8716233398;547807.709141931;Quelmes
Quelmes.46;homerange;13579.8716233398;47964816.5152691;Quelmes
Quelmes.47;homerange;13579.8716233398;1520782.99478537;Quelmes
Quelmes.48;homerange;13579.8716233398;1943850.51030673;Quelmes
Quelmes.49;homerange;13579.8716233398;589659.872041747;Quelmes
Quelmes.50;homerange;13579.8716233398;1318212.38921813;Quelmes
Quelmes.51;homerange;13579.8716233398;552382.37537273;Quelmes
Quelmes.52;homerange;13579.8716233398;556875.584749728;Quelmes
Quelmes.53;homerange;13579.8716233398;543880.011262354;Quelmes
Quelmes.54;homerange;13579.8716233398;1127078.9961286;Quelmes
Quelmes.55;homerange;13579.8716233398;540355.978121294;Quelmes
Wallers;homerange;10316.8979012207;3566559.7295818;Wallers
Wallers.1;homerange;10316.8979012207;26154443.2629552;Wallers
Wallers.2;homerange;10316.8979012207;5278196.25959599;Wallers
Wallers.3;homerange;10316.8979012207;3208037.96106467;Wallers
Wallers.4;homerange;10316.8979012207;748518.56142024;Wallers
Wallers.5;homerange;10316.8979012207;3527675.63368075;Wallers
Wallers.6;homerange;10316.8979012207;4524540.13059781;Wallers
Wallers.7;homerange;10316.8979012207;3689358.82952011;Wallers
Wallers.8;homerange;10316.8979012207;37958624.4045126;Wallers
Wallers.9;homerange;10316.8979012207;6591847.31223958;Wallers
Wallers.10;homerange;10316.8979012207;4910523.4973384;Wallers
Wallers.11;homerange;10316.8979012207;759414.199166752;Wallers
Wallers.12;homerange;10316.8979012207;2251239.22160608;Wallers
