group;rename
Bachant Malakoff.1;BM1
Bachant Malakoff.12;BM3
Bachant Malakoff.2;BM2
Custodelle.26;C1
Custodelle.29;C2
Germignies B;GB2
Germignies B.20;GB1
Guemy.21;G3
Guemy.23;G2
Guemy.28;G1
Licques.12;L3
Licques.19;L2
Licques.23;L1
Loos-en-Gohelle 74A.32;LA1
Loos-en-Gohelle 74B.17;LB3
Loos-en-Gohelle 74B.22;LB2
Loos-en-Gohelle 74B.24;LB1
Quelmes.16;Q3
Quelmes.24;Q2
Quelmes.38;Q1
Wallers.1;W1
Wallers.8;W2
