group,id,area,area_DV
Guemy.32,homerange,3596.35058686523,657804.302258991
Guemy.33,homerange,3596.35058686523,144589.6726615
Guemy.34,homerange,3596.35058686523,144404.129000327
Licques,homerange,4304.90445432129,503259.02045273
Licques.1,homerange,4304.90445432129,504144.832263624
Licques.2,homerange,4304.90445432129,1158205.45829803
Licques.3,homerange,4304.90445432129,509757.767632909
Licques.4,homerange,4304.90445432129,515211.323613999
Licques.5,homerange,4304.90445432129,1605806.83726547
Licques.6,homerange,4304.90445432129,1693864.03303131
Licques.7,homerange,4304.90445432129,517022.439560708
Licques.8,homerange,4304.90445432129,818164.949078567
Licques.9,homerange,4304.90445432129,505646.837894965
Licques.10,homerange,4304.90445432129,506215.641929224
Licques.11,homerange,4304.90445432129,1096777.89040199
Licques.12,homerange,4304.90445432129,5281963.79797178
Licques.13,homerange,4304.90445432129,503357.251362352
Licques.14,homerange,4304.90445432129,503402.370049465
Licques.15,homerange,4304.90445432129,505241.672108475
Licques.16,homerange,4304.90445432129,506055.468587935
Licques.17,homerange,4304.90445432129,506195.596808658
Licques.18,homerange,4304.90445432129,517108.214907613
Licques.19,homerange,4304.90445432129,11002502.4325781
Licques.20,homerange,4304.90445432129,516762.160567135
Licques.21,homerange,4304.90445432129,513391.532829273
Licques.22,homerange,4304.90445432129,503439.737822384
Licques.23,homerange,4304.90445432129,7099177.36937352
Licques.24,homerange,4304.90445432129,510272.324522572
Licques.25,homerange,4304.90445432129,504289.164334141
Licques.26,homerange,4304.90445432129,3077447.42761467
Licques.27,homerange,4304.90445432129,1064360.99532656
Loos-en-Gohelle 74A,homerange,8298.63584506836,1040615.28172077
Loos-en-Gohelle 74A.1,homerange,8298.63584506836,4788854.7553946
Loos-en-Gohelle 74A.2,homerange,8298.63584506836,189489.611251079
Loos-en-Gohelle 74A.3,homerange,8298.63584506836,4070472.70693911
Loos-en-Gohelle 74A.4,homerange,8298.63584506836,712562.378171414
Loos-en-Gohelle 74A.5,homerange,8298.63584506836,188015.523519574
Loos-en-Gohelle 74A.6,homerange,8298.63584506836,190381.6046452
Loos-en-Gohelle 74A.7,homerange,8298.63584506836,190706.270028029
Loos-en-Gohelle 74A.8,homerange,8298.63584506836,1410634.12942392
Loos-en-Gohelle 74A.9,homerange,8298.63584506836,722427.067625232
Loos-en-Gohelle 74A.10,homerange,8298.63584506836,3190540.73681144
Loos-en-Gohelle 74A.11,homerange,8298.63584506836,191452.90108354
Loos-en-Gohelle 74A.12,homerange,8298.63584506836,1388327.51829842
